list_name,name,label,admin1,admin2,admin3,admin4,facility_code,lat,lng,pcode
admin4,PH1380601001,BARANGAY 1,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601002,BARANGAY 2,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601003,BARANGAY 3,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601004,BARANGAY 4,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601005,BARANGAY 5,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601006,BARANGAY 6,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601007,BARANGAY 7,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601008,BARANGAY 8,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601009,BARANGAY 9,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601010,BARANGAY 10,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601011,BARANGAY 11,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601012,BARANGAY 12,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601013,BARANGAY 13,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601014,BARANGAY 14,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601015,BARANGAY 15,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601016,BARANGAY 16,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601017,BARANGAY 17,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601018,BARANGAY 18,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601019,BARANGAY 19,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601020,BARANGAY 20,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601025,BARANGAY 25,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601026,BARANGAY 26,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601028,BARANGAY 28,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601029,BARANGAY 29,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601030,BARANGAY 30,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601031,BARANGAY 31,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601032,BARANGAY 32,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601033,BARANGAY 33,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601034,BARANGAY 34,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601035,BARANGAY 35,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601036,BARANGAY 36,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601037,BARANGAY 37,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601038,BARANGAY 38,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601039,BARANGAY 39,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601041,BARANGAY 41,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601042,BARANGAY 42,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601043,BARANGAY 43,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601044,BARANGAY 44,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601045,BARANGAY 45,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601046,BARANGAY 46,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601047,BARANGAY 47,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601048,BARANGAY 48,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601049,BARANGAY 49,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601050,BARANGAY 50,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601051,BARANGAY 51,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601052,BARANGAY 52,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601053,BARANGAY 53,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601054,BARANGAY 54,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601055,BARANGAY 55,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601056,BARANGAY 56,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601057,BARANGAY 57,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601058,BARANGAY 58,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601059,BARANGAY 59,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601060,BARANGAY 60,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601061,BARANGAY 61,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601062,BARANGAY 62,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601063,BARANGAY 63,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601064,BARANGAY 64,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601065,BARANGAY 65,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601066,BARANGAY 66,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601067,BARANGAY 67,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601068,BARANGAY 68,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601069,BARANGAY 69,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601070,BARANGAY 70,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601071,BARANGAY 71,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601072,BARANGAY 72,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601073,BARANGAY 73,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601074,BARANGAY 74,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601075,BARANGAY 75,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601076,BARANGAY 76,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601077,BARANGAY 77,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601078,BARANGAY 78,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601079,BARANGAY 79,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601080,BARANGAY 80,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601081,BARANGAY 81,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601082,BARANGAY 82,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601083,BARANGAY 83,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601084,BARANGAY 84,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601085,BARANGAY 85,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601086,BARANGAY 86,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601087,BARANGAY 87,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601088,BARANGAY 88,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601089,BARANGAY 89,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601090,BARANGAY 90,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601091,BARANGAY 91,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601092,BARANGAY 92,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601093,BARANGAY 93,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601094,BARANGAY 94,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601095,BARANGAY 95,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601096,BARANGAY 96,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601097,BARANGAY 97,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601098,BARANGAY 98,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601099,BARANGAY 99,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601100,BARANGAY 100,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601101,BARANGAY 101,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601102,BARANGAY 102,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601103,BARANGAY 103,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601104,BARANGAY 104,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601105,BARANGAY 105,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601106,BARANGAY 106,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601107,BARANGAY 107,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601108,BARANGAY 108,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601109,BARANGAY 109,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601110,BARANGAY 110,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601111,BARANGAY 111,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601112,BARANGAY 112,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601116,BARANGAY 116,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601117,BARANGAY 117,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601118,BARANGAY 118,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601119,BARANGAY 119,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601120,BARANGAY 120,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601121,BARANGAY 121,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601122,BARANGAY 122,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601123,BARANGAY 123,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601124,BARANGAY 124,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601125,BARANGAY 125,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601126,BARANGAY 126,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601127,BARANGAY 127,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601128,BARANGAY 128,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601129,BARANGAY 129,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601130,BARANGAY 130,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601131,BARANGAY 131,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601132,BARANGAY 132,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601133,BARANGAY 133,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601134,BARANGAY 134,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601135,BARANGAY 135,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601136,BARANGAY 136,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601137,BARANGAY 137,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601138,BARANGAY 138,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601139,BARANGAY 139,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601140,BARANGAY 140,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601141,BARANGAY 141,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601142,BARANGAY 142,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601143,BARANGAY 143,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601144,BARANGAY 144,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601145,BARANGAY 145,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601146,BARANGAY 146,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601147,BARANGAY 147,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601148,BARANGAY 148,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601149,BARANGAY 149,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601150,BARANGAY 150,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601151,BARANGAY 151,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601152,BARANGAY 152,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601153,BARANGAY 153,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601154,BARANGAY 154,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601155,BARANGAY 155,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601156,BARANGAY 156,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601157,BARANGAY 157,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601158,BARANGAY 158,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601159,BARANGAY 159,PH1300000000,PH1380600000,PH1380601000,,,,,
admin4,PH1380601160,BARANGAY 160,PH1300000000,PH1380600000,PH1380601000,,,,,
