Disability,Region,Population,age/ave_affected,age affection
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 5-19,39.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 5-19,85.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 5-19,43.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 5-19,38.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 5-19,51.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),386697,Age: 5-19,78.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 5-19,161.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 5-19,261.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 5-19,91.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 5-19,100.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 5-19,474.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1146287,Age: 5-19,173.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 5-19,64.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 5-19,105.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 5-19,41.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 5-19,48.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 5-19,187.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1323051,Age: 5-19,75.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 5-19,6.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 5-19,58.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 5-19,8.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 5-19,6.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 5-19,10.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),913590,Age: 5-19,68.0
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 5-19,9.0
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 5-19,43.0
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 5-19,9.0
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 5-19,8.0
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 5-19,13.0
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),413690,Age: 5-19,22.0
Cognitive Disability,Cordillera Administrative Region (CAR),247402,Age: 5-19,79.0
Communication Disability,Cordillera Administrative Region (CAR),247402,Age: 5-19,98.0
Hearing Disability,Cordillera Administrative Region (CAR),247402,Age: 5-19,80.0
Mobility Disability,Cordillera Administrative Region (CAR),247402,Age: 5-19,83.0
Self-Care Disability,Cordillera Administrative Region (CAR),247402,Age: 5-19,89.0
Visual Disability,Cordillera Administrative Region (CAR),247402,Age: 5-19,143.0
Cognitive Disability,Cordillera Administrative Region (CAR),123899,Age: 5-19,94.0
Communication Disability,Cordillera Administrative Region (CAR),123899,Age: 5-19,134.0
Hearing Disability,Cordillera Administrative Region (CAR),123899,Age: 5-19,107.0
Mobility Disability,Cordillera Administrative Region (CAR),123899,Age: 5-19,95.0
Self-Care Disability,Cordillera Administrative Region (CAR),123899,Age: 5-19,105.0
Visual Disability,Cordillera Administrative Region (CAR),123899,Age: 5-19,168.0
Cognitive Disability,Cordillera Administrative Region (CAR),848552,Age: 5-19,97.0
Communication Disability,Cordillera Administrative Region (CAR),848552,Age: 5-19,116.0
Hearing Disability,Cordillera Administrative Region (CAR),848552,Age: 5-19,73.0
Mobility Disability,Cordillera Administrative Region (CAR),848552,Age: 5-19,75.0
Self-Care Disability,Cordillera Administrative Region (CAR),848552,Age: 5-19,99.0
Visual Disability,Cordillera Administrative Region (CAR),848552,Age: 5-19,386.0
Cognitive Disability,Cordillera Administrative Region (CAR),210669,Age: 5-19,96.0
Communication Disability,Cordillera Administrative Region (CAR),210669,Age: 5-19,134.0
