Region,Province,Population
Cordillera Administrative Region (CAR),Abra,250985
Cordillera Administrative Region (CAR),Apayao,124366
Cordillera Administrative Region (CAR),Benguet,460683
Cordillera Administrative Region (CAR),Ifugao,207498
Cordillera Administrative Region (CAR),Kalinga,229570
Cordillera Administrative Region (CAR),Mountain Province,158200
Total Population of CAR,,1431302
Ilocos Region (Region I),Ilocos Norte,609588
Ilocos Region (Region I),Ilocos Sur,706009
Ilocos Region (Region I),La Union,822352
Ilocos Region (Region I),Pangasinan,3163190
Total Population of Region I,,5301139
Cagayan Valley (Region II),Batanes,18831
Cagayan Valley (Region II),Cagayan,1268603
Cagayan Valley (Region II),Isabela,1697050
Cagayan Valley (Region II),Nueva Vizcaya,497432
Cagayan Valley (Region II),Quirino,203828
Total Population of Region II,,3685744
Central Luzon (Region III),Aurora,235750
Central Luzon (Region III),Bataan,853373
Central Luzon (Region III),Bulacan,3708890
Central Luzon (Region III),Nueva Ecija,2310134
Central Luzon (Region III),Pampanga,2437709
Central Luzon (Region III),Tarlac,1503456
Central Luzon (Region III),Zambales,649615
Total Population of Region III,,11699927
CALABARZON (Region IV-A),Batangas,2908494
CALABARZON (Region IV-A),Cavite,4344829
CALABARZON (Region IV-A),Laguna,3382193
CALABARZON (Region IV-A),Quezon,2122830
CALABARZON (Region IV-A),Rizal,3330143
Total Population of Region IV-A,,16088489
MIMAROPA Region (Region IV-B),Marinduque,239207
MIMAROPA Region (Region IV-B),Occidental Mindoro,525354
MIMAROPA Region (Region IV-B),Oriental Mindoro,908339
MIMAROPA Region (Region IV-B),Palawan,939594
MIMAROPA Region (Region IV-B),Romblon,308985
Total Population of Region IV-B,,2921479
Bicol Region (Region V),Albay,1374768
Bicol Region (Region V),Camarines Norte,629699
Bicol Region (Region V),Camarines Sur,2068244
Bicol Region (Region V),Catanduanes,271879
Bicol Region (Region V),Masbate,908920
Bicol Region (Region V),Sorsogon,828655
Total Population of Region V,,6082165
