Region,Province_pcode,Province,Population
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),PH150700000,BASILAN,386697
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),PH153600000,LANAO DEL SUR,1146287
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),PH153800000,MAGUINDANAO,1323051
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),PH156600000,SULU,913590
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),PH157000000,TAWI-TAWI,413690
Cordillera Administrative Region (CAR),PH140100000,ABRA,247402
Cordillera Administrative Region (CAR),PH141100000,BENGUET,848552
Cordillera Administrative Region (CAR),PH142700000,IFUGAO,210669
Cordillera Administrative Region (CAR),PH143200000,KALINGA,220230
Cordillera Administrative Region (CAR),PH144400000,MOUNTAIN PROVINCE,156987
Cordillera Administrative Region (CAR),PH148100000,APAYAO,123899
MIMAROPA Region,PH174000000,MARINDUQUE,241036
MIMAROPA Region,PH175100000,OCCIDENTAL MINDORO,515134
MIMAROPA Region,PH175200000,ORIENTAL MINDORO,901270
MIMAROPA Region,PH175300000,PALAWAN,1216009
MIMAROPA Region,PH175900000,ROMBLON,301407
National Capital Region (NCR),PH133900000,"NCR, FIRST DISTRICT (NOT A PROVINCE)",1886920
National Capital Region (NCR),PH137400000,"NCR, SECOND DISTRICT (NOT A PROVINCE)",4960933
National Capital Region (NCR),PH137500000,"NCR, THIRD DISTRICT (NOT A PROVINCE)",2940822
National Capital Region (NCR),PH137600000,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",4015981
REGION XI (DAVAO REGION),PH112300000,DAVAO DEL NORTE,1056457
REGION XI (DAVAO REGION),PH112400000,DAVAO DEL SUR,2520852
REGION XI (DAVAO REGION),PH112500000,DAVAO ORIENTAL,600531
REGION XI (DAVAO REGION),PH118200000,COMPOSTELA VALLEY,774102
REGION XI (DAVAO REGION),PH118600000,DAVAO OCCIDENTAL,338925
REGION XII (SOCCSKSARGEN),PH124700000,COTABATO (NORTH COTABATO),1527149
REGION XII (SOCCSKSARGEN),PH126300000,SOUTH COTABATO,1644256
REGION XII (SOCCSKSARGEN),PH126500000,SULTAN KUDARAT,855241
REGION XII (SOCCSKSARGEN),PH128000000,SARANGANI,583791
REGION XII (SOCCSKSARGEN),PH129800000,COTABATO CITY (NOT A PROVINCE),309498
Region I (Ilocos Region),PH012800000,ILOCOS NORTE,613421
Region I (Ilocos Region),PH012900000,ILOCOS SUR,715810
Region I (Ilocos Region),PH013300000,LA UNION,828194
Region I (Ilocos Region),PH015500000,PANGASINAN,3113382
Region II (Cagayan Valley),PH020900000,BATANES,17874
Region II (Cagayan Valley),PH021500000,CAGAYAN,1273322
Region II (Cagayan Valley),PH023100000,ISABELA,1685739
Region II (Cagayan Valley),PH025000000,NUEVA VIZCAYA,482894
Region II (Cagayan Valley),PH025700000,QUIRINO,197917
Region III (Central Luzon),PH030800000,BATAAN,836076
Region III (Central Luzon),PH031400000,BULACAN,3646679
Region III (Central Luzon),PH034900000,NUEVA ECIJA,2355414
Region III (Central Luzon),PH035400000,PAMPANGA,2893624
Region III (Central Luzon),PH036900000,TARLAC,1460137
Region III (Central Luzon),PH037100000,ZAMBALES,894254
Region III (Central Luzon),PH037700000,AURORA,227530
Region IV-A (CALABARZON),PH041000000,BATANGAS,3033730
Region IV-A (CALABARZON),PH042100000,CAVITE,4210866
Region IV-A (CALABARZON),PH043400000,LAGUNA,3343703
Region IV-A (CALABARZON),PH045600000,QUEZON,2260033
Region IV-A (CALABARZON),PH045800000,RIZAL,3208959
Region IX (Zamboanga Peninsula),PH097200000,ZAMBOANGA DEL NORTE,1047292
Region IX (Zamboanga Peninsula),PH097300000,ZAMBOANGA DEL SUR,1928337
Region IX (Zamboanga Peninsula),PH098300000,ZAMBOANGA SIBUGAY,679404
Region IX (Zamboanga Peninsula),PH099700000,CITY OF ISABELA (NOT A PROVINCE),127728
Region V (Bicol Region),PH050500000,ALBAY,1396088
Region V (Bicol Region),PH051600000,CAMARINES NORTE,622514
Region V (Bicol Region),PH051700000,CAMARINES SUR,2059495
Region V (Bicol Region),PH052000000,CATANDUANES,272941
Region V (Bicol Region),PH054100000,MASBATE,937079
Region V (Bicol Region),PH056200000,SORSOGON,845718
Region VI (Western Visayas),PH060400000,AKLAN,605584
Region VI (Western Visayas),PH060600000,ANTIQUE,612454
Region VI (Western Visayas),PH061900000,CAPIZ,803083
Region VI (Western Visayas),PH063000000,ILOILO,2524211
Region VI (Western Visayas),PH064500000,NEGROS OCCIDENTAL,3174389
Region VI (Western Visayas),PH067900000,GUIMARAS,185174
Region VII (Central Visayas),PH071200000,BOHOL,1365107
Region VII (Central Visayas),PH072200000,CEBU,5085207
Region VII (Central Visayas),PH074600000,NEGROS ORIENTAL,1406274
Region VII (Central Visayas),PH076100000,SIQUIJOR,100457
Region VIII (Eastern Visayas),PH082600000,EASTERN SAMAR,503495
Region VIII (Eastern Visayas),PH083700000,LEYTE,2124269
Region VIII (Eastern Visayas),PH084800000,NORTHERN SAMAR,668766
Region VIII (Eastern Visayas),PH086000000,SAMAR (WESTERN SAMAR),822095
Region VIII (Eastern Visayas),PH086400000,SOUTHERN LEYTE,444355
Region VIII (Eastern Visayas),PH087800000,BILIRAN,179362
Region X (Northern Mindanao),PH101300000,BUKIDNON,1510189
Region X (Northern Mindanao),PH101800000,CAMIGUIN,92431
Region X (Northern Mindanao),PH103500000,LANAO DEL NORTE,1095270
Region X (Northern Mindanao),PH104200000,MISAMIS OCCIDENTAL,627158
Region X (Northern Mindanao),PH104300000,MISAMIS ORIENTAL,1692002
Region XIII (Caraga),PH160200000,AGUSAN DEL NORTE,738775
Region XIII (Caraga),PH160300000,AGUSAN DEL SUR,734982
Region XIII (Caraga),PH166700000,SURIGAO DEL NORTE,528148
Region XIII (Caraga),PH166800000,SURIGAO DEL SUR,620531
Region XIII (Caraga),PH168500000,DINAGAT ISLANDS,130671
