Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,id,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Both Sexes,All,PH150700000,1820,149,144,302,1225
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Both Sexes,Mild,PH150700000,1594,117,119,267,1091
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Both Sexes,Moderate,PH150700000,174,15,12,28,119
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Both Sexes,Severe,PH150700000,52,17,13,7,15
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Female,All,PH150700000,1007,66,64,150,727
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Female,Mild,PH150700000,881,49,52,132,648
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Female,Moderate,PH150700000,97,6,3,16,72
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Female,Severe,PH150700000,29,11,9,2,7
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Male,All,PH150700000,813,83,80,152,498
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Male,Mild,PH150700000,713,68,67,135,443
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Male,Moderate,PH150700000,77,9,9,12,47
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Cognitive Disability,Male,Severe,PH150700000,23,6,4,5,8
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Communication Disability,Both Sexes,All,PH150700000,1587,327,248,276,736
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Communication Disability,Both Sexes,Mild,PH150700000,1116,165,153,178,620
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Communication Disability,Both Sexes,Moderate,PH150700000,246,68,46,51,81
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Communication Disability,Both Sexes,Severe,PH150700000,225,94,49,47,35
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Communication Disability,Female,All,PH150700000,847,150,121,149,427
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Communication Disability,Female,Mild,PH150700000,575,74,58,80,363
