Region,Province,Disability,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+,Household Population 5 Years Old and Over with Functional Difficulty,Population
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Cognitive Disability,39.0,38.0,79.0,317.0,1820,386697
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Communication Disability,85.0,65.0,72.0,191.0,1587,386697
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Hearing Disability,43.0,43.0,139.0,611.0,3226,386697
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Mobility Disability,38.0,43.0,161.0,578.0,3161,386697
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Self-Care Disability,51.0,34.0,54.0,218.0,1377,386697
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Visual Disability,78.0,99.0,618.0,1145.0,7490,386697
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Cognitive Disability,161.0,131.0,674.0,1420.0,27335,1146287
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Communication Disability,261.0,162.0,271.0,658.0,15480,1146287
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Hearing Disability,91.0,122.0,678.0,1857.0,31475,1146287
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Mobility Disability,100.0,112.0,691.0,1757.0,30461,1146287
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Self-Care Disability,474.0,102.0,304.0,916.0,20571,1146287
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Visual Disability,173.0,328.0,2190.0,3175.0,67216,1146287
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Cognitive Disability,64.0,46.0,187.0,511.0,10660,1323051
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Communication Disability,105.0,77.0,133.0,304.0,8160,1323051
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Hearing Disability,41.0,49.0,245.0,757.0,14416,1323051
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Mobility Disability,48.0,46.0,257.0,770.0,14807,1323051
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Self-Care Disability,187.0,47.0,135.0,397.0,10102,1323051
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Visual Disability,75.0,111.0,785.0,1322.0,30314,1323051
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Cognitive Disability,6.0,6.0,31.0,175.0,1973,913590
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Communication Disability,58.0,37.0,40.0,118.0,2283,913590
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Hearing Disability,8.0,9.0,58.0,284.0,3273,913590
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Mobility Disability,6.0,9.0,58.0,286.0,3254,913590
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Self-Care Disability,10.0,6.0,21.0,134.0,1535,913590
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Visual Disability,68.0,53.0,154.0,384.0,6008,913590
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Cognitive Disability,9.0,23.0,134.0,439.0,2493,413690
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Communication Disability,43.0,42.0,68.0,193.0,1424,413690
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Hearing Disability,9.0,21.0,195.0,746.0,4006,413690
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Mobility Disability,8.0,20.0,155.0,652.0,3446,413690
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Self-Care Disability,13.0,15.0,48.0,245.0,1318,413690
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Visual Disability,22.0,57.0,471.0,1013.0,6461,413690
Cordillera Administrative Region (CAR),ABRA,Cognitive Disability,79.0,146.0,494.0,1953.0,6606,247402
Cordillera Administrative Region (CAR),ABRA,Communication Disability,98.0,83.0,125.0,465.0,1900,247402
Cordillera Administrative Region (CAR),ABRA,Hearing Disability,80.0,107.0,433.0,2719.0,8255,247402
Cordillera Administrative Region (CAR),ABRA,Mobility Disability,83.0,90.0,411.0,2663.0,8028,247402
Cordillera Administrative Region (CAR),ABRA,Self-Care Disability,89.0,50.0,102.0,716.0,2364,247402
Cordillera Administrative Region (CAR),ABRA,Visual Disability,143.0,336.0,2437.0,5762.0,21466,247402
Cordillera Administrative Region (CAR),APAYAO,Cognitive Disability,94.0,314.0,957.0,2233.0,4456,123899
Cordillera Administrative Region (CAR),APAYAO,Communication Disability,134.0,136.0,161.0,486.0,1135,123899
Cordillera Administrative Region (CAR),APAYAO,Hearing Disability,107.0,158.0,511.0,2251.0,3748,123899
Cordillera Administrative Region (CAR),APAYAO,Mobility Disability,95.0,125.0,391.0,1831.0,3023,123899
Cordillera Administrative Region (CAR),APAYAO,Self-Care Disability,105.0,73.0,130.0,564.0,1079,123899
Cordillera Administrative Region (CAR),APAYAO,Visual Disability,168.0,324.0,2080.0,4079.0,8238,123899
Cordillera Administrative Region (CAR),BENGUET,Cognitive Disability,97.0,113.0,248.0,948.0,11907,848552
Cordillera Administrative Region (CAR),BENGUET,Communication Disability,116.0,97.0,103.0,269.0,4950,848552
Cordillera Administrative Region (CAR),BENGUET,Hearing Disability,73.0,110.0,313.0,1540.0,17263,848552
Cordillera Administrative Region (CAR),BENGUET,Mobility Disability,75.0,108.0,372.0,1788.0,19872,848552
Cordillera Administrative Region (CAR),BENGUET,Self-Care Disability,99.0,64.0,90.0,430.0,5776,848552
Cordillera Administrative Region (CAR),BENGUET,Visual Disability,386.0,830.0,1659.0,3111.0,50777,848552
Cordillera Administrative Region (CAR),IFUGAO,Cognitive Disability,96.0,111.0,263.0,1026.0,3147,210669
Cordillera Administrative Region (CAR),IFUGAO,Communication Disability,134.0,96.0,102.0,302.0,1332,210669
Cordillera Administrative Region (CAR),IFUGAO,Hearing Disability,77.0,104.0,284.0,1535.0,4208,210669
Cordillera Administrative Region (CAR),IFUGAO,Mobility Disability,77.0,86.0,277.0,1738.0,4585,210669
Cordillera Administrative Region (CAR),IFUGAO,Self-Care Disability,157.0,57.0,77.0,440.0,1537,210669
Cordillera Administrative Region (CAR),IFUGAO,Visual Disability,92.0,213.0,937.0,2554.0,7993,210669
Cordillera Administrative Region (CAR),KALINGA,Cognitive Disability,92.0,135.0,423.0,1382.0,4472,220230
Cordillera Administrative Region (CAR),KALINGA,Communication Disability,132.0,125.0,110.0,345.0,1564,220230
Cordillera Administrative Region (CAR),KALINGA,Hearing Disability,65.0,123.0,349.0,1837.0,5223,220230
Cordillera Administrative Region (CAR),KALINGA,Mobility Disability,94.0,131.0,385.0,1748.0,5190,220230
Cordillera Administrative Region (CAR),KALINGA,Self-Care Disability,96.0,89.0,94.0,479.0,1666,220230
Cordillera Administrative Region (CAR),KALINGA,Visual Disability,106.0,216.0,1254.0,2919.0,9895,220230
Cordillera Administrative Region (CAR),MOUNTAIN PROVINCE,Cognitive Disability,83.0,111.0,265.0,1152.0,2525,156987
Cordillera Administrative Region (CAR),MOUNTAIN PROVINCE,Communication Disability,121.0,97.0,131.0,304.0,1023,156987
Cordillera Administrative Region (CAR),MOUNTAIN PROVINCE,Hearing Disability,64.0,72.0,250.0,1849.0,3504,156987
Cordillera Administrative Region (CAR),MOUNTAIN PROVINCE,Mobility Disability,101.0,104.0,348.0,2211.0,4335,156987
Cordillera Administrative Region (CAR),MOUNTAIN PROVINCE,Self-Care Disability,96.0,71.0,99.0,529.0,1245,156987
Cordillera Administrative Region (CAR),MOUNTAIN PROVINCE,Visual Disability,100.0,190.0,753.0,2371.0,5357,156987
MIMAROPA Region,MARINDUQUE,Cognitive Disability,121.0,158.0,464.0,1788.0,6096,241036
MIMAROPA Region,MARINDUQUE,Communication Disability,180.0,146.0,157.0,520.0,2411,241036
MIMAROPA Region,MARINDUQUE,Hearing Disability,99.0,106.0,325.0,2204.0,6585,241036
MIMAROPA Region,MARINDUQUE,Mobility Disability,119.0,111.0,446.0,2718.0,8177,241036
MIMAROPA Region,MARINDUQUE,Self-Care Disability,116.0,68.0,94.0,671.0,2281,241036
MIMAROPA Region,MARINDUQUE,Visual Disability,206.0,380.0,2577.0,6159.0,22464,241036
MIMAROPA Region,OCCIDENTAL MINDORO,Cognitive Disability,84.0,113.0,376.0,994.0,8065,515134
MIMAROPA Region,OCCIDENTAL MINDORO,Communication Disability,133.0,103.0,111.0,270.0,3161,515134
MIMAROPA Region,OCCIDENTAL MINDORO,Hearing Disability,93.0,126.0,371.0,1575.0,11145,515134
MIMAROPA Region,OCCIDENTAL MINDORO,Mobility Disability,85.0,94.0,346.0,1546.0,10663,515134
