Disability,Region,Population,age/ave_affected,age affection
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 5-19,3090
Communication Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 5-19,5642
Hearing Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 5-19,1945
Mobility Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 5-19,2139
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 5-19,8499
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 5-19,4100
Cognitive Disability,Cordillera Administrative Region (CAR),1807739,Age: 5-19,1662
Communication Disability,Cordillera Administrative Region (CAR),1807739,Age: 5-19,2146
Hearing Disability,Cordillera Administrative Region (CAR),1807739,Age: 5-19,1345
Mobility Disability,Cordillera Administrative Region (CAR),1807739,Age: 5-19,1477
Self-Care Disability,Cordillera Administrative Region (CAR),1807739,Age: 5-19,1874
Visual Disability,Cordillera Administrative Region (CAR),1807739,Age: 5-19,4414
Cognitive Disability,MIMAROPA Region,3174856,Age: 5-19,2972
Communication Disability,MIMAROPA Region,3174856,Age: 5-19,4473
Hearing Disability,MIMAROPA Region,3174856,Age: 5-19,3182
Mobility Disability,MIMAROPA Region,3174856,Age: 5-19,2939
Self-Care Disability,MIMAROPA Region,3174856,Age: 5-19,3478
Visual Disability,MIMAROPA Region,3174856,Age: 5-19,6569
Cognitive Disability,National Capital Region (NCR),13804656,Age: 5-19,8238
Communication Disability,National Capital Region (NCR),13804656,Age: 5-19,11884
Hearing Disability,National Capital Region (NCR),13804656,Age: 5-19,6729
Mobility Disability,National Capital Region (NCR),13804656,Age: 5-19,6487
Self-Care Disability,National Capital Region (NCR),13804656,Age: 5-19,10019
Visual Disability,National Capital Region (NCR),13804656,Age: 5-19,52614
Cognitive Disability,REGION XI (DAVAO REGION),5290867,Age: 5-19,4339
Communication Disability,REGION XI (DAVAO REGION),5290867,Age: 5-19,6169
Hearing Disability,REGION XI (DAVAO REGION),5290867,Age: 5-19,3285
Mobility Disability,REGION XI (DAVAO REGION),5290867,Age: 5-19,3401
Self-Care Disability,REGION XI (DAVAO REGION),5290867,Age: 5-19,5313
Visual Disability,REGION XI (DAVAO REGION),5290867,Age: 5-19,8333
Cognitive Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 5-19,6559
Communication Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 5-19,8733
Hearing Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 5-19,4865
Mobility Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 5-19,5236
Self-Care Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 5-19,8287
Visual Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 5-19,8787
Cognitive Disability,Region I (Ilocos Region),5270807,Age: 5-19,2834
Communication Disability,Region I (Ilocos Region),5270807,Age: 5-19,5153
Hearing Disability,Region I (Ilocos Region),5270807,Age: 5-19,2956
Mobility Disability,Region I (Ilocos Region),5270807,Age: 5-19,3145
Self-Care Disability,Region I (Ilocos Region),5270807,Age: 5-19,4006
Visual Disability,Region I (Ilocos Region),5270807,Age: 5-19,7747
Cognitive Disability,Region II (Cagayan Valley),3657746,Age: 5-19,2539
Communication Disability,Region II (Cagayan Valley),3657746,Age: 5-19,4141
Hearing Disability,Region II (Cagayan Valley),3657746,Age: 5-19,2759
Mobility Disability,Region II (Cagayan Valley),3657746,Age: 5-19,2793
