Region,Province,Sex,Disability,Status,Household Population 5 Years Old and Over with Functional Difficulty,Gender Population,Gender affected by disability per 100k
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Cognitive Disability,Mild,881,193348.5,455
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Cognitive Disability,Moderate,97,193348.5,50
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Cognitive Disability,Severe,29,193348.5,14
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Communication Disability,Mild,575,193348.5,297
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Communication Disability,Moderate,134,193348.5,69
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Communication Disability,Severe,138,193348.5,71
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Hearing Disability,Mild,1536,193348.5,794
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Hearing Disability,Moderate,118,193348.5,61
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Hearing Disability,Severe,32,193348.5,16
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Mobility Disability,Mild,1470,193348.5,760
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Mobility Disability,Moderate,157,193348.5,81
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Mobility Disability,Severe,44,193348.5,22
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Self-Care Disability,Mild,606,193348.5,313
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Self-Care Disability,Moderate,83,193348.5,42
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Self-Care Disability,Severe,58,193348.5,29
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Visual Disability,Mild,3683,193348.5,1904
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Visual Disability,Moderate,156,193348.5,80
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Female,Visual Disability,Severe,146,193348.5,75
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Cognitive Disability,Mild,713,193348.5,368
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Cognitive Disability,Moderate,77,193348.5,39
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Cognitive Disability,Severe,23,193348.5,11
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Communication Disability,Mild,541,193348.5,279
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Communication Disability,Moderate,112,193348.5,57
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Communication Disability,Severe,87,193348.5,44
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Hearing Disability,Mild,1391,193348.5,719
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Hearing Disability,Moderate,113,193348.5,58
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Hearing Disability,Severe,36,193348.5,18
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Mobility Disability,Mild,1289,193348.5,666
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Mobility Disability,Moderate,163,193348.5,84
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Mobility Disability,Severe,38,193348.5,19
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Self-Care Disability,Mild,508,193348.5,262
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Self-Care Disability,Moderate,75,193348.5,38
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Self-Care Disability,Severe,47,193348.5,24
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Visual Disability,Mild,3230,193348.5,1670
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Visual Disability,Moderate,145,193348.5,74
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,Male,Visual Disability,Severe,130,193348.5,67
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Cognitive Disability,Mild,12793,573143.5,2232
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Cognitive Disability,Moderate,1021,573143.5,178
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Cognitive Disability,Severe,213,573143.5,37
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Communication Disability,Mild,5726,573143.5,999
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Communication Disability,Moderate,1278,573143.5,222
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Communication Disability,Severe,910,573143.5,158
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Hearing Disability,Mild,14439,573143.5,2519
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Hearing Disability,Moderate,1081,573143.5,188
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Hearing Disability,Severe,157,573143.5,27
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Mobility Disability,Mild,13896,573143.5,2424
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Mobility Disability,Moderate,1280,573143.5,223
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Mobility Disability,Severe,267,573143.5,46
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Self-Care Disability,Mild,8727,573143.5,1522
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Self-Care Disability,Moderate,1049,573143.5,183
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Self-Care Disability,Severe,661,573143.5,115
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Visual Disability,Mild,31323,573143.5,5465
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Visual Disability,Moderate,1861,573143.5,324
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Female,Visual Disability,Severe,599,573143.5,104
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Cognitive Disability,Mild,12187,573143.5,2126
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Cognitive Disability,Moderate,941,573143.5,164
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Cognitive Disability,Severe,180,573143.5,31
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Communication Disability,Mild,5993,573143.5,1045
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Communication Disability,Moderate,958,573143.5,167
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Communication Disability,Severe,615,573143.5,107
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Hearing Disability,Mild,14617,573143.5,2550
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Hearing Disability,Moderate,996,573143.5,173
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Hearing Disability,Severe,185,573143.5,32
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Mobility Disability,Mild,13597,573143.5,2372
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Mobility Disability,Moderate,1155,573143.5,201
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Mobility Disability,Severe,266,573143.5,46
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Self-Care Disability,Mild,8403,573143.5,1466
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Self-Care Disability,Moderate,993,573143.5,173
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Self-Care Disability,Severe,738,573143.5,128
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Visual Disability,Mild,31174,573143.5,5439
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Visual Disability,Moderate,1656,573143.5,288
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,Male,Visual Disability,Severe,603,573143.5,105
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Cognitive Disability,Mild,4938,661525.5,746
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Cognitive Disability,Moderate,437,661525.5,66
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Cognitive Disability,Severe,100,661525.5,15
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Communication Disability,Mild,3044,661525.5,460
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Communication Disability,Moderate,658,661525.5,99
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Communication Disability,Severe,485,661525.5,73
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Hearing Disability,Mild,6774,661525.5,1023
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Hearing Disability,Moderate,440,661525.5,66
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Hearing Disability,Severe,62,661525.5,9
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,Female,Mobility Disability,Mild,6839,661525.5,1033
