Disability,Region,Status,RegCode_Old,Province,ProvCode_Old,Household Population 5 Years Old and Over with Functional Difficulty,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Mild,PH150000000,BASILAN,PH150700000,1594,386697,413.0,2.615950051656401
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Mild,PH150000000,LANAO DEL SUR,PH153600000,24980,1146287,2180.0,3.3384564936046046
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Mild,PH150000000,MAGUINDANAO,PH153800000,9652,1323051,730.0,2.863322860120456
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Mild,PH150000000,SULU,PH156600000,1800,913590,198.0,2.296665190261531
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Mild,PH150000000,TAWI-TAWI,PH157000000,2255,413690,546.0,2.7371926427047373
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Moderate,PH150000000,BASILAN,PH150700000,174,386697,45.0,1.6532125137753437
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Moderate,PH150000000,LANAO DEL SUR,PH153600000,1962,1146287,172.0,2.2355284469075487
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Moderate,PH150000000,MAGUINDANAO,PH153800000,837,1323051,64.0,1.806179973983887
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Moderate,PH150000000,SULU,PH156600000,151,913590,17.0,1.2304489213782739
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Moderate,PH150000000,TAWI-TAWI,PH157000000,214,413690,52.0,1.7160033436347992
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Severe,PH150000000,BASILAN,PH150700000,52,386697,14.0,1.146128035678238
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Severe,PH150000000,LANAO DEL SUR,PH153600000,393,1146287,35.0,1.5440680443502757
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Severe,PH150000000,MAGUINDANAO,PH153800000,171,1323051,13.0,1.1139433523068367
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Severe,PH150000000,SULU,PH156600000,22,913590,3.0,0.47712125471966244
Cognitive Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Severe,PH150000000,TAWI-TAWI,PH157000000,24,413690,6.0,0.7781512503836436
Cognitive Disability,Cordillera Administrative Region (CAR),Mild,PH140000000,ABRA,PH140100000,5696,247402,2303.0,3.362293937964231
Cognitive Disability,Cordillera Administrative Region (CAR),Mild,PH140000000,APAYAO,PH148100000,3939,123899,3180.0,3.5024271199844326
Cognitive Disability,Cordillera Administrative Region (CAR),Mild,PH140000000,BENGUET,PH141100000,9684,848552,1142.0,3.0576661039098294
Cognitive Disability,Cordillera Administrative Region (CAR),Mild,PH140000000,IFUGAO,PH142700000,2512,210669,1193.0,3.076640443670342
