Region,Province,Province_pcode,Population
Region I (Ilocos Region),Ilocos Norte,PH012800000,1823
Region I (Ilocos Region),Ilocos Norte,PH012800000,32778
Region I (Ilocos Region),Ilocos Norte,PH012800000,32218
Region I (Ilocos Region),Ilocos Norte,PH012800000,14954
Region I (Ilocos Region),Ilocos Norte,PH012800000,56248
Region I (Ilocos Region),Ilocos Norte,PH012800000,9948
Region I (Ilocos Region),Ilocos Norte,PH012800000,1644
Region I (Ilocos Region),Ilocos Norte,PH012800000,12419
Region I (Ilocos Region),Ilocos Norte,PH012800000,39673
Region I (Ilocos Region),Ilocos Norte,PH012800000,3267
Region I (Ilocos Region),Ilocos Norte,PH012800000,19814
Region I (Ilocos Region),Ilocos Norte,PH012800000,116143
Region I (Ilocos Region),Ilocos Norte,PH012800000,18373
Region I (Ilocos Region),Ilocos Norte,PH012800000,11279
Region I (Ilocos Region),Ilocos Norte,PH012800000,25441
Region I (Ilocos Region),Ilocos Norte,PH012800000,25499
Region I (Ilocos Region),Ilocos Norte,PH012800000,29685
Region I (Ilocos Region),Ilocos Norte,PH012800000,22149
Region I (Ilocos Region),Ilocos Norte,PH012800000,17676
Region I (Ilocos Region),Ilocos Norte,PH012800000,38859
Region I (Ilocos Region),Ilocos Norte,PH012800000,25669
Region I (Ilocos Region),Ilocos Norte,PH012800000,24985
Region I (Ilocos Region),Ilocos Norte,PH012800000,32877
Region I (Ilocos Region),Ilocos Sur,PH012900000,6825
Region I (Ilocos Region),Ilocos Sur,PH012900000,7899
Region I (Ilocos Region),Ilocos Sur,PH012900000,36669
Region I (Ilocos Region),Ilocos Sur,PH012900000,12609
Region I (Ilocos Region),Ilocos Sur,PH012900000,38806
Region I (Ilocos Region),Ilocos Sur,PH012900000,62567
Region I (Ilocos Region),Ilocos Sur,PH012900000,20924
Region I (Ilocos Region),Ilocos Sur,PH012900000,17623
Region I (Ilocos Region),Ilocos Sur,PH012900000,11353
Region I (Ilocos Region),Ilocos Sur,PH012900000,5516
Region I (Ilocos Region),Ilocos Sur,PH012900000,4836
Region I (Ilocos Region),Ilocos Sur,PH012900000,32933
Region I (Ilocos Region),Ilocos Sur,PH012900000,5513
Region I (Ilocos Region),Ilocos Sur,PH012900000,44916
Region I (Ilocos Region),Ilocos Sur,PH012900000,8736
Region I (Ilocos Region),Ilocos Sur,PH012900000,11531
Region I (Ilocos Region),Ilocos Sur,PH012900000,7531
Region I (Ilocos Region),Ilocos Sur,PH012900000,8579
Region I (Ilocos Region),Ilocos Sur,PH012900000,8419
Region I (Ilocos Region),Ilocos Sur,PH012900000,27277
Region I (Ilocos Region),Ilocos Sur,PH012900000,13652
Region I (Ilocos Region),Ilocos Sur,PH012900000,15657
Region I (Ilocos Region),Ilocos Sur,PH012900000,14229
Region I (Ilocos Region),Ilocos Sur,PH012900000,41305
Region I (Ilocos Region),Ilocos Sur,PH012900000,25927
Region I (Ilocos Region),Ilocos Sur,PH012900000,31656
Region I (Ilocos Region),Ilocos Sur,PH012900000,19313
Region I (Ilocos Region),Ilocos Sur,PH012900000,28553
