Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Both Sexes,All,152118,9785,20600,48814,72919
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Both Sexes,Mild,141933,8836,19025,46474,67598
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Both Sexes,Moderate,9022,751,1383,2078,4810
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Both Sexes,Severe,1163,198,192,262,511
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Male,All,62232,4154,8148,21277,28653
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Male,Mild,58086,3698,7512,20215,26661
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Male,Moderate,3591,369,534,921,1767
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Male,Severe,555,87,102,141,225
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Female,All,89886,5631,12452,27537,44266
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Female,Mild,83847,5138,11513,26259,40937
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Female,Moderate,5431,382,849,1157,3043
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Visual Disability,Female,Severe,608,111,90,121,286
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Both Sexes,All,29409,1137,1760,4979,21533
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Both Sexes,Mild,26053,766,1357,4426,19504
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Both Sexes,Moderate,2423,198,189,345,1691
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Both Sexes,Severe,933,173,214,208,338
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Male,All,12275,602,861,2421,8391
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Male,Mild,10775,397,651,2152,7575
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Male,Moderate,1040,111,99,161,669
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Male,Severe,460,94,111,108,147
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Female,All,17134,535,899,2558,13142
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Female,Mild,15278,369,706,2274,11929
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Female,Moderate,1383,87,90,184,1022
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Hearing Disability,Female,Severe,473,79,103,100,191
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",PH130000000,PH1380600000,Mobility Disability,Both Sexes,All,35367,1034,1341,5574,27418
