Region,Population
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),4404288
Cordillera Administrative Region (CAR),1797660
MIMAROPA Region,3228558
National Capital Region (NCR),13484462
Region XI (Davao Region),5243536
Region XII (SOCCSKSARGEN),4901486
Region I (Ilocos Region),5301139
Region II (Cagayan Valley),3685744
Region III (Central Luzon),12422172
Region IV-A (CALABARZON),16195042
Region IX (Zamboanga Peninsula),3875576
Region V (Bicol Region),6082165
Region VI (Western Visayas),7954723
Region VII (Central Visayas),8081988
Region VIII (Eastern Visayas),4547150
Region X (Northern Mindanao),5022768
Region XIII (Caraga),2804788
